Rsex,ReligSum,SupParty,ClosePty,PartyIDN,Politics,Spend1,TaxSpend,AnyBN3,Dole,dolefidl,sochelp,welfhelp,damlives,proudwlf,redistrb,richlaw,wealth,indust4,BigBusnn,deathapp,wronglaw,censor,tradvals,stifsent,NatIdGB,NHSSat,ECPolicy2,EURefV2,EURefb,EUVOTWHO
Male,Church of England, No,Yes,Labour,3,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,4,4,4,2,2,3,3,2,3,2,2,3,2,2,2,not British,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion,Yes,Item not applicable,Labour,1,Education,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,5,5,5,1,1,1,1,1,3,2,4,4,2,4,4,Equally (English/Scottish/Welsh) and British,Quite satisfied,to stay in the EU and try to reduce the EUs powers,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No,Yes,Conservative,4,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,3,4,3,4,3,3,3,3,2,3,4,2,3,More (English/Scottish/Welsh) than British,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No, No,Don’t know,3,Schedule not applicable,Keep taxes and spending on these services at the same level,No,Don’t know,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Other,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,Other Christian,Yes,Item not applicable,Labour,1,Schedule not applicable,Schedule not applicable,Yes,Schedule not applicable,4,3,4,4,1,3,1,1,2,2,1,3,2,2,1,Equally (English/Scottish/Welsh) and British,Very satisfied,to leave the European Union,Schedule not applicable,Schedule not applicable,Schedule not applicable
Male,Other Christian, No,Yes,Labour,4,Schedule not applicable,Schedule not applicable,No,Schedule not applicable,3,4,2,3,3,4,2,2,2,2,4,2,2,3,3,More British than (English/Scottish/Welsh),Very satisfied,to leave the European Union,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No,Yes,Conservative,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,3,4,3,2,2,3,3,3,3,2,3,3,2,3,2,Equally (English/Scottish/Welsh) and British,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable
Male,Church of England,Yes,Item not applicable,Labour,2,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,4,4,3,2,2,1,1,2,1,3,5,2,2,1,3,Equally (English/Scottish/Welsh) and British,Very dissatisfied,to leave things as they are,Schedule not applicable,Schedule not applicable,Schedule not applicable
Male,No religion, No, No,Labour,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,5,4,4,1,2,2,2,2,2,2,3,3,2,2,2,Equally (English/Scottish/Welsh) and British,Neither satisfied nor dissatisfied,to leave the European Union,Yes,Leave the European Union,Leave the European Union 
Female,Non-Christian,Yes,Item not applicable,Conservative,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Other answer ,2,3,3,4,3,3,2,2,2,2,3,2,3,2,1,Other,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No,Yes,Labour,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,4,4,4,2,2,4,2,3,4,4,4,2,2,4,2,Equally (English/Scottish/Welsh) and British,Very satisfied,to stay in the EU and try to reduce the EUs powers,Yes,Remain a member of the European Union,Remain a member of the European Union 
Male,Other Christian,Yes,Item not applicable,Conservative,1,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause,4,3,2,2,1,2,2,3,2,2,1,3,1,2,1,British not (English/Scottish/Welsh),Quite dissatisfied,to leave the European Union,Yes,Leave the European Union,Leave the European Union 
Male,Other Christian,Yes,Item not applicable,Conservative,1,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,4,4,4,2,2,2,2,2,2,2,4,3,2,4,2,Equally (English/Scottish/Welsh) and British,Quite satisfied,to stay in the EU and try to reduce the EUs powers,Yes,Remain a member of the European Union,Remain a member of the European Union 
Male,Roman Catholic,Yes,Item not applicable,Labour,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,3,3,4,2,2,3,4,3,3,2,3,2,2,2,2,Other,Quite satisfied,to leave things as they are,No,Remain a member of the European Union,"skip, didnt return SC questionnaire"
Male,Church of England,Yes,Item not applicable,Labour,2,Schedule not applicable,Schedule not applicable,No,Schedule not applicable,2,2,3,3,2,3,2,2,2,2,2,4,3,2,2,Equally (English/Scottish/Welsh) and British,Very dissatisfied,to leave the European Union,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,Other Christian, No, No,,5,Social security benefits,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,3,4,3,2,2,1,1,1,1,1,1,2,2,2,1,not British,Neither satisfied nor dissatisfied,to leave things as they are,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No,Yes,Labour,4,Schedule not applicable,Schedule not applicable,No,Schedule not applicable,3,3,3,2,4,2,2,2,2,3,2,3,3,4,2,Equally (English/Scottish/Welsh) and British,Quite dissatisfied,to work for the formation of a single European government,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,Other Christian, No, No,,4,Defence,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,3,3,2,3,3,3,2,2,3,3,3,3,3,2,2,not British,Quite satisfied,to work for the formation of a single European government,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No, No,Conservative,2,Schedule not applicable,Schedule not applicable,No,Schedule not applicable,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Other,Neither satisfied nor dissatisfied,to stay in the EU and try to reduce the EUs powers,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion,Yes,Item not applicable,Conservative,2,Schedule not applicable,Schedule not applicable,Yes,Schedule not applicable,1,4,2,2,2,3,1,1,1,1,1,3,2,1,1,not British,Quite dissatisfied,to leave the European Union,Schedule not applicable,Schedule not applicable,Schedule not applicable
Female,No religion, No, No,,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,3,3,3,3,3,4,2,2,2,3,2,3,3,3,2,Equally (English/Scottish/Welsh) and British,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable,Schedule not applicable
Male,No religion, No, No,,5,Schedule not applicable,Schedule not applicable,No,Schedule not applicable,2,2,4,3,3,2,2,2,2,3,2,3,2,2,2,Equally (English/Scottish/Welsh) and British,Quite satisfied,to leave the European Union,Schedule not applicable,Schedule not applicable,Schedule not applicable
Male,Other Christian,Yes,Item not applicable,Conservative,2,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,4,4,4,2,2,5,2,4,4,2,4,2,2,2,2,Equally (English/Scottish/Welsh) and British,Quite dissatisfied,to stay in the EU and try to reduce the EUs powers,Schedule not applicable,Schedule not applicable,Schedule not applicable
