Rsex,ReligSum,SupParty,ClosePty,PartyIDN,Politics,Spend1,TaxSpend,AnyBN3,Dole,dolefidl,sochelp,welfhelp,damlives,proudwlf,redistrb,richlaw,wealth,indust4,BigBusnn,NatIdGB,tradvals,stifsent,EURefV2,EURefb,ECPolicy2,NHSSat,EUVOTWHO,deathapp,censor,wronglaw
Female,No religion, No, No,Don’t know,4,Health,"Increase tax and spend more on health, education and social benefits",Yes,Neither,4,4,3,2,2,4,2,2,2,2,Schedule not applicable,3,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,3,2,3
Female,No religion, No, No,Don’t know,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,3,3,3,2,3,3,1,1,2,3,Schedule not applicable,2,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,1,3,3
Female,Other Christian, No, No,Scottish National Party,4,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,2,3,2,2,2,2,2,2,3,Schedule not applicable,2,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,2,2,2
Male,No religion,Yes,Item not applicable,Labour,3,Health,"Increase tax and spend more on health, education and social benefits",No,Neither,3,4,4,2,3,3,5,3,4,1,Schedule not applicable,4,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,5,5,4
Male,No religion, No,Yes,Liberal Democrat,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,2,2,1,2,1,2,1,1,2,2,Schedule not applicable,1,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,1,2,1
Male,Non-Christian, No, No,Labour,3,Help for industry,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,2,2,2,3,1,1,2,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,3,3,3
Male,Roman Catholic,Yes,Item not applicable,Labour,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,5,3,4,1,2,2,2,2,4,2,More (English/Scottish/Welsh) than British,4,3,Yes,Remain a member of the European Union,to leave things as they are,Very dissatisfied,Leave the European Union ,5,4,4
Female,No religion, No, No,Don’t know,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,Don’t know,4,4,4,4,4,2,2,2,2,2,Equally (English/Scottish/Welsh) and British,3,2,Yes,DK/Refusal ,to leave the European Union,Very dissatisfied,Remain a member of the European Union ,4,5,4
Male,Non-Christian,Yes,Item not applicable,Liberal Democrat,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,4,5,5,1,1,1,2,1,3,2,British not (English/Scottish/Welsh),4,4,Yes,Remain a member of the European Union,to stay in the EU and try to increase the EUs powers,Quite dissatisfied,Remain a member of the European Union ,5,3,4
Male,No religion, No, No,Don’t know,5,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,9,9,9,9,9,3,3,3,2,3,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,2,2,2
Male,Church of England,Yes,Item not applicable,Conservative,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,3,3,3,3,1,3,3,3,4,4,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,2,2,3
Female,No religion, No, No,,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,4,5,3,1,2,2,2,3,2,2,Schedule not applicable,4,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,4,5,4
