Rsex,ReligSum,SupParty,ClosePty,PartyIDN,Politics,Spend1,TaxSpend,AnyBN3,Dole,dolefidl,sochelp,welfhelp,damlives,proudwlf,redistrb,richlaw,wealth,Indust4,BigBusnn,NatIdGB,tradvals,stifsent,NHSSat,ECPolicy2,EURefV2,EURefb,CovWk1,CovWk2,CovWk3,deathapp,censor,wronglaw
Male,Other Christian,Yes,Item not applicable,Conservative,2,Defence,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,4,4,4,2,1,3,5,3,4,4,British not (English/Scottish/Welsh),3,3,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,3,4
Male,No religion,Yes,Item not applicable,Labour,3,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,3,3,4,1,2,4,4,3,4,3,Other,4,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,2,3
Female,No religion,Yes,Item not applicable,Labour,3,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,4,4,3,1,1,3,3,2,3,3,not British,3,3,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,2,2
Male,Other Christian, No, No,Labour,2,Police and prisons,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,2,3,3,4,2,2,3,2,Equally (English/Scottish/Welsh) and British,2,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,2,2,2
Female,No religion, No, No,Conservative,3,Police and prisons,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,2,4,3,3,2,4,3,3,4,2,Equally (English/Scottish/Welsh) and British,4,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,3,3,3,2,4
Male,Other Christian,Yes,Item not applicable,Conservative,2,Don’t know,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,2,2,3,4,2,4,5,3,4,4,Equally (English/Scottish/Welsh) and British,1,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,2,3
Male,Other Christian,Yes,Item not applicable,Conservative,3,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,3,4,3,1,3,1,1,1,1,1,Equally (English/Scottish/Welsh) and British,1,1,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,2,3,1,1,3
Male,Roman Catholic,Yes,Item not applicable,Labour,3,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,5,5,4,1,4,2,1,1,3,1,Equally (English/Scottish/Welsh) and British,2,2,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,4,4
Female,Church of England, No,Yes,Conservative,4,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,2,2,1,8,2,4,2,2,2,2,Equally (English/Scottish/Welsh) and British,1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,2,2
Female,Other Christian, No, No,Conservative,3,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,5,4,4,2,2,3,4,4,4,4,Equally (English/Scottish/Welsh) and British,4,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,2,2
Male,No religion, No,Yes,Labour,4,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,2,3,2,4,2,2,1,4,More (English/Scottish/Welsh) than British,1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,2,2,2
Male,No religion, No, No,none ,3,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,2,2,2,3,3,2,1,2,2,2,Equally (English/Scottish/Welsh) and British,2,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,3,3,3,3,2
Male,Church of England, No,Yes,Conservative,1,Defence,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,2,4,4,2,1,3,1,2,4,2,British not (English/Scottish/Welsh),1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,4,2
Female,No religion, No,Yes,Conservative,1,Defence,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,3,4,5,1,1,4,1,1,2,1,More (English/Scottish/Welsh) than British,1,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,9,9,4
Female,No religion, No,Yes,Labour,3,Housing,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,2,3,3,1,2,2,2,2,Equally (English/Scottish/Welsh) and British,1,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,3,2,2
